Audience Type,Current Tracking Method,Visibility for Recruitment (Now),Visibility for Recruitment (After),Most Valuable Feature,Ever Thought a System Like This Could Be Implemented
Athlete 1,Excel/Spreadsheet,No,Somewhat,Verified Results,Yes
Athlete 2,PDF,Somewhat,Yes,Recruiting Tools,Maybe
Athlete 3,Notebook,No,Yes,Networking,Yes
Athlete 4,Phone Notes,No,Somewhat,Recruiting Tools,No
Athlete 5,No System,Somewhat,Yes,Verified Results,Yes
Athlete 6,WhatsApp,Somewhat,Yes,Verified Results,Maybe
Athlete 7,Notebook,No,Somewhat,Recruiting Tools,Yes
Athlete 8,Excel/Spreadsheet,No,Yes,Verified Results,No
Athlete 9,No System,No,Somewhat,Recruiting Tools,Maybe
Athlete 10,WhatsApp,No,Yes,Networking,Yes
Athlete 11,Youtube,Yes,Yes,Verified Results,Yes
Athlete 12,Excel/Spreadsheet,No,Somewhat,Recruiting Tools,Maybe
Athlete 13,No System,No,Yes,Networking,Yes
Athlete 14,WhatsApp ,Somewhat,Yes,Verified Results,Maybe
Athlete 15,Youtube,No,Somewhat,Recruiting Tools,Yes
Athlete 16,Excel/Spreadsheet,No,Yes,Recruiting tools,No
Athlete 17,WhatsApp,Somewhat,Yes,Verified Results,Maybe
Athlete 18,Youtube,Yes,Somewhat,Recruiting Tools,Yes
Athlete 19,Excel/Spreadsheet,No,Yes,Networking,Maybe
Athlete 20,No System,No,Yes,Verified Results,Yes
Coach/Recruiter,Excel/Spreadsheet,No,Yes,Recruiting Tools,Yes
Coach/Recruiter,Excel/Spreadsheet,No,Yes,Networking,Maybe
Coach/Recruiter,Excel/Spreadsheet,No,Yes,Verified Results,Yes
Coach/Recruiter,Excel/Spreadsheet,No,Yes,Recruiting Tools,Yes
Coach/Recruiter,Notion,Somewhat,Yes,Networking,Yes