Audience Type,Current Tracking Method,Tracking Method (After),Visibility for Recruitment (Now),Visibility for Recruitment (After),Most Valuable Feature,Ever Thought a System Like This Could Be Implemented
Athlete 1,Excel/Spreadsheet,Trackeo,No,Somewhat,Verified Results,Yes
Athlete 2,PDF,Trackeo,Somewhat,Yes,Recruiting Tools,Maybe
Athlete 3,Notebook,Trackeo,No,Yes,Networking,Yes
Athlete 4,Phone Notes,Excel/Spreadsheet,No,Somewhat,Recruiting Tools,No
Athlete 5,No System,Trackeo,Somewhat,Yes,Verified Results,Yes
Athlete 6,WhatsApp,Trackeo,Somewhat,Yes,Verified Results,Maybe
Athlete 7,Notebook,Trackeo,No,Somewhat,Recruiting Tools,Yes
Athlete 8,Excel/Spreadsheet,Trackeo,No,Yes,Verified Results,No
Athlete 9,No System,Trackeo,No,Somewhat,Recruiting Tools,Maybe
Athlete 10,WhatsApp,Trackeo,No,Yes,Networking,Yes
Athlete 11,Youtube,Excel/Spreadsheet,Yes,Yes,Verified Results,Yes
Athlete 12,Excel/Spreadsheet,Trackeo,No,Somewhat,Recruiting Tools,Maybe
Athlete 13,No System,Trackeo,No,Yes,Networking,Yes
Athlete 14,WhatsApp ,Trackeo,Somewhat,Yes,Verified Results,Maybe
Athlete 15,Youtube,Trackeo,No,Somewhat,Recruiting Tools,Yes
Athlete 16,Excel/Spreadsheet,Trackeo,No,Yes,Recruiting tools,No
Athlete 17,WhatsApp,Trackeo,Somewhat,Yes,Verified Results,Maybe
Athlete 18,Youtube,Trackeo,Yes,Somewhat,Recruiting Tools,Yes
Athlete 19,Excel/Spreadsheet,Trackeo,No,Yes,Networking,Maybe
Athlete 20,No System,Trackeo,No,Yes,Verified Results,Yes
Coach/Recruiter,Excel/Spreadsheet,Excel/Spreadsheet,No,Yes,Recruiting Tools,Yes
Coach/Recruiter,Excel/Spreadsheet,Trackeo,No,Yes,Networking,Maybe
Coach/Recruiter,Excel/Spreadsheet,Excel/Spreadsheet,No,Yes,Verified Results,Yes
Coach/Recruiter,Excel/Spreadsheet,Trackeo,No,Yes,Recruiting Tools,Yes
Coach/Recruiter,Notion,Notion,Somewhat,Yes,Networking,Yes